Topic-1,Topic-2,Correlation
,,
9902045-19,10105-14,0.596
,,
9902045-13,10105-19,0.688
,,
9902045-13,10105-19,0.688
,,
9902045-19,10105-14,0.596
,,
9902045-19,10105-14,0.596
,,
9902045-13,10105-19,0.688
,,
9902045-13,10105-19,0.688
,,
10105-14,101029-9,0.766
,,
10105-14,101029-9,0.766
,,
10105-19,101029-16,0.642
,,
10105-19,101029-16,0.642
,,
10105-14,101029-9,0.766
,,
10105-14,101029-9,0.766
,,
10105-19,101029-16,0.642
,,
10105-19,101029-16,0.642
,,
10105-14,101029-9,0.766
,,
10105-14,101029-9,0.766
,,
10105-19,101029-16,0.642
,,
10105-19,101029-16,0.642
,,
10105-14,101029-9,0.766
,,
10105-14,101029-9,0.766
,,
10105-19,101029-16,0.642
,,
10105-19,101029-16,0.642
,,
10105-14,101029-9,0.766
,,
10105-14,101029-9,0.766
,,
10105-19,101029-16,0.642
,,
10105-19,101029-16,0.642
,,
101029-9,106089-19,0.701
,,
101029-9,106089-9,0.717
,,
101029-16,106089-18,0.723
,,
101029-16,106089-17,0.727
,,
101029-9,106089-19,0.701
,,
101029-9,106089-9,0.717
,,
101029-16,106089-18,0.723
,,
101029-16,106089-17,0.727
,,
101029-9,106089-19,0.701
,,
101029-9,106089-9,0.717
,,
101029-16,106089-18,0.723
,,
101029-16,106089-17,0.727
,,
101029-9,106089-19,0.701
,,
101029-9,106089-9,0.717
,,
101029-16,106089-18,0.723
,,
101029-16,106089-17,0.727
,,
101029-9,106089-19,0.701
,,
101029-9,106089-9,0.717
,,
101029-16,106089-18,0.723
,,
101029-16,106089-17,0.727
,,
106089-19,209166-18,0.581
,,
106089-9,209166-9,0.54
,,
106089-18,209166-18,0.615
,,
106089-17,209166-9,0.552
,,
106089-19,209166-18,0.581
,,
106089-9,209166-9,0.54
,,
106089-18,209166-18,0.615
,,
106089-17,209166-9,0.552
,,
106089-19,209166-18,0.581
,,
106089-9,209166-9,0.54
,,
106089-18,209166-18,0.615
,,
106089-17,209166-9,0.552
,,
106089-19,209166-18,0.581
,,
106089-9,209166-9,0.54
,,
106089-18,209166-18,0.615
,,
106089-17,209166-9,0.552
,,
106089-19,209166-18,0.581
,,
106089-9,209166-9,0.54
,,
106089-18,209166-18,0.615
,,
106089-17,209166-9,0.552
,,
209166-18,211119-19,0.627
,,
209166-9,211119-19,0.577
,,
209166-18,211119-19,0.627
,,
209166-9,211119-19,0.577
,,
209166-18,211119-19,0.627
,,
209166-9,211119-19,0.577
,,
209166-18,211119-19,0.627
,,
209166-9,211119-19,0.577
,,
209166-18,211119-19,0.627
,,
209166-9,211119-19,0.577
,,
209166-18,211119-19,0.627
,,
209166-9,211119-19,0.577
,,
209166-18,211119-19,0.627
,,
209166-9,211119-19,0.577
,,
209166-18,211119-19,0.627
,,
209166-9,211119-19,0.577
,,
209166-18,211119-19,0.627
,,
209166-9,211119-19,0.577
,,
209166-18,211119-19,0.627
,,
209166-9,211119-19,0.577
,,
9206083-6,303009-19,0.593
,,
9206083-3,303009-7,0.598
,,
9206083-7,303009-15,0.609
,,
9206083-16,303009-19,0.631
,,
9206083-7,303009-10,0.644
,,
9503203-7,9712202-19,0.648
,,
9503203-4,9712202-19,0.649
,,
9503203-7,9712202-10,0.662
,,
9503203-19,9712202-19,0.671
,,
9503203-5,9712202-10,0.696
,,
9712202-19,106259-7,0.649
,,
9712202-19,106259-7,0.649
,,
9712202-10,106259-11,0.643
,,
9712202-19,106259-7,0.649
,,
9712202-10,106259-11,0.643
,,
106259-7,107242-11,0.539
,,
106259-7,107242-11,0.539
,,
106259-11,107242-11,0.641
,,
106259-7,107242-11,0.539
,,
106259-11,107242-11,0.641
,,
107242-11,209146-1,0.656
,,
107242-11,209146-1,0.656
,,
107242-11,209146-1,0.656
,,
107242-11,209146-1,0.656
,,
107242-11,209146-1,0.656
,,
9203019-2,9209049-10,0.647
,,
9203019-2,9209049-10,0.647
,,
9203019-2,9209049-10,0.647
,,
9203019-2,9209049-10,0.647
,,
9203019-2,9209049-10,0.647
,,
9203019-1,9209049-10,0.663
,,
9203019-1,9209049-10,0.663
,,
9203019-1,9209049-10,0.663
,,
9203019-1,9209049-10,0.663
,,
9203019-1,9209049-10,0.663
,,
9203019-9,9209049-10,0.676
,,
9203019-9,9209049-10,0.676
,,
9203019-9,9209049-10,0.676
,,
9203019-9,9209049-10,0.676
,,
9203019-9,9209049-10,0.676
,,
9203019-16,9209049-16,0.682
,,
9203019-16,9209049-16,0.682
,,
9203019-16,9209049-16,0.682
,,
9203019-16,9209049-16,0.682
,,
9203019-16,9209049-16,0.682
,,
9203019-16,9209049-16,0.682
,,
9203019-16,9209049-16,0.682
,,
9203019-16,9209049-16,0.682
,,
9203019-16,9209049-16,0.682
,,
9203019-1,9209049-5,0.712
,,
9203019-1,9209049-5,0.712
,,
9203019-1,9209049-5,0.712
,,
9203019-1,9209049-5,0.712
,,
9209049-10,9311164-19,0.706
,,
9209049-10,9311164-19,0.706
,,
9209049-10,9311164-19,0.706
,,
9209049-10,9311164-19,0.706
,,
9209049-10,9311164-19,0.706
,,
9209049-10,9311164-19,0.706
,,
9209049-10,9311164-19,0.706
,,
9209049-10,9311164-19,0.706
,,
9209049-10,9311164-19,0.706
,,
9209049-10,9311164-19,0.706
,,
9209049-10,9311164-19,0.706
,,
9209049-10,9311164-19,0.706
,,
9209049-10,9311164-19,0.706
,,
9209049-10,9311164-19,0.706
,,
9209049-10,9311164-19,0.706
,,
9209049-16,9311164-10,0.782
,,
9209049-16,9311164-10,0.782
,,
9209049-16,9311164-10,0.782
,,
9209049-16,9311164-10,0.782
,,
9209049-16,9311164-10,0.782
,,
9209049-16,9311164-10,0.782
,,
9209049-16,9311164-10,0.782
,,
9209049-16,9311164-10,0.782
,,
9209049-16,9311164-10,0.782
,,
9209049-5,9311164-7,0.7
,,
9209049-5,9311164-7,0.7
,,
9209049-5,9311164-7,0.7
,,
9209049-5,9311164-7,0.7
,,
9311164-19,9512048-11,0.658
,,
9311164-19,9512048-11,0.658
,,
9311164-19,9512048-11,0.658
,,
9311164-19,9512048-11,0.658
,,
9311164-19,9512048-11,0.658
,,
9311164-19,9512048-11,0.658
,,
9311164-19,9512048-11,0.658
,,
9311164-19,9512048-11,0.658
,,
9311164-19,9512048-11,0.658
,,
9311164-19,9512048-11,0.658
,,
9311164-19,9512048-11,0.658
,,
9311164-19,9512048-11,0.658
,,
9311164-19,9512048-11,0.658
,,
9311164-19,9512048-11,0.658
,,
9311164-19,9512048-11,0.658
,,
9311164-10,9512048-7,0.646
,,
9311164-10,9512048-7,0.646
,,
9311164-10,9512048-7,0.646
,,
9311164-10,9512048-7,0.646
,,
9311164-10,9512048-7,0.646
,,
9311164-10,9512048-7,0.646
,,
9311164-10,9512048-7,0.646
,,
9311164-10,9512048-7,0.646
,,
9311164-10,9512048-7,0.646
,,
9311164-7,9512048-10,0.576
,,
9311164-7,9512048-10,0.576
,,
9311164-7,9512048-10,0.576
,,
9311164-7,9512048-10,0.576
,,
9512048-11,9609228-11,0.638
,,
9512048-11,9609228-11,0.638
,,
9512048-11,9609228-11,0.638
,,
9512048-11,9609228-11,0.638
,,
9512048-11,9609228-11,0.638
,,
9512048-11,9609228-11,0.638
,,
9512048-11,9609228-11,0.638
,,
9512048-11,9609228-11,0.638
,,
9512048-11,9609228-11,0.638
,,
9512048-11,9609228-11,0.638
,,
9512048-11,9609228-11,0.638
,,
9512048-11,9609228-11,0.638
,,
9512048-11,9609228-11,0.638
,,
9512048-11,9609228-11,0.638
,,
9512048-11,9609228-11,0.638
,,
9512048-7,9609228-17,0.701
,,
9512048-7,9609228-17,0.701
,,
9512048-7,9609228-17,0.701
,,
9512048-7,9609228-17,0.701
,,
9512048-7,9609228-17,0.701
,,
9512048-7,9609228-16,0.715
,,
9512048-7,9609228-16,0.715
,,
9512048-7,9609228-16,0.715
,,
9512048-7,9609228-16,0.715
,,
9512048-10,9609228-16,0.681
,,
9512048-10,9609228-16,0.681
,,
9512048-10,9609228-16,0.681
,,
9512048-10,9609228-16,0.681
,,
9609228-11,9705102-9,0.689
,,
9609228-11,9705102-9,0.689
,,
9609228-11,9705102-9,0.689
,,
9609228-11,9705102-9,0.689
,,
9609228-11,9705102-9,0.689
,,
9609228-11,9705102-9,0.689
,,
9609228-11,9705102-9,0.689
,,
9609228-11,9705102-9,0.689
,,
9609228-11,9705102-9,0.689
,,
9609228-11,9705102-9,0.689
,,
9609228-11,9705102-9,0.689
,,
9609228-11,9705102-9,0.689
,,
9609228-11,9705102-9,0.689
,,
9609228-11,9705102-9,0.689
,,
9609228-11,9705102-9,0.689
,,
9609228-17,9705102-9,0.725
,,
9609228-17,9705102-9,0.725
,,
9609228-17,9705102-9,0.725
,,
9609228-17,9705102-9,0.725
,,
9609228-17,9705102-9,0.725
,,
9609228-16,9705102-16,0.675
,,
9609228-16,9705102-16,0.675
,,
9609228-16,9705102-16,0.675
,,
9609228-16,9705102-16,0.675
,,
9609228-16,9705102-16,0.675
,,
9609228-16,9705102-16,0.675
,,
9609228-16,9705102-16,0.675
,,
9609228-16,9705102-16,0.675
,,
9705102-9,2093-13,0.693
,,
9705102-9,2093-10,0.717
,,
9705102-9,2093-10,0.717
,,
9705102-9,2093-10,0.717
,,
9705102-9,2093-10,0.717
,,
9705102-9,2093-13,0.693
,,
9705102-9,2093-10,0.717
,,
9705102-9,2093-10,0.717
,,
9705102-9,2093-10,0.717
,,
9705102-9,2093-10,0.717
,,
9705102-9,2093-13,0.693
,,
9705102-9,2093-10,0.717
,,
9705102-9,2093-10,0.717
,,
9705102-9,2093-10,0.717
,,
9705102-9,2093-10,0.717
,,
9705102-9,2093-13,0.693
,,
9705102-9,2093-10,0.717
,,
9705102-9,2093-10,0.717
,,
9705102-9,2093-10,0.717
,,
9705102-9,2093-10,0.717
,,
9705102-16,2093-10,0.678
,,
9705102-16,2093-10,0.678
,,
9705102-16,2093-10,0.678
,,
9705102-16,2093-10,0.678
,,
9705102-16,2093-10,0.678
,,
9705102-16,2093-10,0.678
,,
9705102-16,2093-10,0.678
,,
9705102-16,2093-10,0.678
,,
2093-13,4026-18,0.619
,,
2093-10,4026-17,0.668
,,
2093-10,4026-18,0.684
,,
2093-10,4026-15,0.714
,,
2093-10,4026-11,0.777
,,
2093-13,4026-18,0.619
,,
2093-10,4026-17,0.668
,,
2093-10,4026-18,0.684
,,
2093-10,4026-15,0.714
,,
2093-10,4026-11,0.777
,,
2093-13,4026-18,0.619
,,
2093-10,4026-17,0.668
,,
2093-10,4026-18,0.684
,,
2093-10,4026-15,0.714
,,
2093-10,4026-11,0.777
,,
2093-13,4026-18,0.619
,,
2093-10,4026-17,0.668
,,
2093-10,4026-18,0.684
,,
2093-10,4026-15,0.714
,,
2093-10,4026-11,0.777
,,
2093-10,4026-17,0.668
,,
2093-10,4026-18,0.684
,,
2093-10,4026-15,0.714
,,
2093-10,4026-11,0.777
,,
2093-10,4026-17,0.668
,,
2093-10,4026-18,0.684
,,
2093-10,4026-15,0.714
,,
2093-10,4026-11,0.777
,,
9211138-10,9507057-15,0.553
,,
9211138-10,9507057-15,0.553
,,
9211138-1,9507057-13,0.554
,,
9211138-1,9507057-13,0.554
,,
9211138-10,9507057-10,0.586
,,
9211138-10,9507057-13,0.598
,,
9211138-10,9507057-13,0.598
,,
9211138-1,9507057-1,0.614
,,
9211138-1,9507057-1,0.614
,,
9507057-15,209230-11,0.593
,,
9507057-15,209230-11,0.593
,,
9507057-13,209230-11,0.587
,,
9507057-13,209230-11,0.587
,,
9507057-10,209230-14,0.556
,,
9507057-13,209230-11,0.587
,,
9507057-13,209230-11,0.587
,,
9507057-1,209230-11,0.608
,,
9507057-1,209230-11,0.608
,,
209230-11,210127-12,0.656
,,
209230-11,210127-13,0.714
,,
209230-11,210127-12,0.656
,,
209230-11,210127-13,0.714
,,
209230-14,210127-5,0.622
,,
209230-11,210127-12,0.656
,,
209230-11,210127-13,0.714
,,
209230-11,210127-12,0.656
,,
209230-11,210127-13,0.714
,,
9206036-5,101138-14,0.652
,,
9206036-2,101138-14,0.655
,,
9206036-4,101138-15,0.666
,,
9206036-1,101138-4,0.677
,,
9206036-1,101138-4,0.677
,,
9206036-7,101138-10,0.687
,,
101138-14,12260-16,0.725
,,
101138-14,12260-16,0.725
,,
101138-15,12260-5,0.638
,,
101138-4,12260-15,0.738
,,
101138-4,12260-16,0.755
,,
101138-10,12260-16,0.778
,,
9611024-11,9910096-18,0.64
,,
9611024-11,9910096-14,0.653
,,
9611024-5,9910096-18,0.669
,,
9611024-7,9910096-14,0.685
,,
9611024-7,9910096-18,0.724
,,
9910096-18,106149-8,0.502
,,
9910096-14,106149-12,0.502
,,
9910096-18,106149-8,0.502
,,
9910096-14,106149-12,0.502
,,
9910096-18,106149-8,0.502
,,
106149-8,201253-11,0.561
,,
106149-12,201253-10,0.578
,,
106149-8,201253-11,0.561
,,
106149-12,201253-10,0.578
,,
106149-8,201253-11,0.561
,,
201253-11,209188-15,0.568
,,
201253-10,209188-2,0.676
,,
201253-11,209188-15,0.568
,,
201253-10,209188-2,0.676
,,
201253-11,209188-15,0.568
,,
9608161-0,9709001-3,0.671
,,
9608161-0,9709001-11,0.686
,,
9608161-0,9709001-10,0.698
,,
9608161-0,9709001-17,0.708
,,
9608161-0,9709001-1,0.746
,,
9709001-3,212114-18,0.554
,,
9709001-11,212114-4,0.575
,,
9709001-10,212114-4,0.618
,,
9709001-17,212114-1,0.584
,,
9709001-1,212114-4,0.637
,,
9312198-4,9510097-9,0.638
,,
9312198-4,9510097-9,0.638
,,
9312198-4,9510097-9,0.638
,,
9312198-4,9510097-9,0.638
,,
9312198-4,9510097-9,0.638
,,
9312198-4,9510097-9,0.638
,,
9312198-4,9510097-9,0.638
,,
9312198-1,9510097-18,0.641
,,
9312198-1,9510097-18,0.641
,,
9312198-1,9510097-18,0.641
,,
9312198-1,9510097-18,0.641
,,
9312198-14,9510097-18,0.664
,,
9312198-14,9510097-18,0.664
,,
9312198-14,9510097-18,0.664
,,
9312198-14,9510097-18,0.664
,,
9312198-1,9510097-5,0.673
,,
9312198-1,9510097-5,0.673
,,
9312198-1,9510097-5,0.673
,,
9312198-1,9510097-5,0.673
,,
9312198-1,9510097-5,0.673
,,
9312198-1,9510097-5,0.673
,,
9312198-1,9510097-5,0.673
,,
9312198-2,9510097-2,0.684
,,
9312198-2,9510097-2,0.684
,,
9312198-2,9510097-2,0.684
,,
9312198-2,9510097-2,0.684
,,
9510097-9,9603061-14,0.571
,,
9510097-9,9603061-14,0.571
,,
9510097-9,9603061-14,0.571
,,
9510097-9,9603061-14,0.571
,,
9510097-9,9603061-14,0.571
,,
9510097-9,9603061-14,0.571
,,
9510097-9,9603061-14,0.571
,,
9510097-18,9603061-19,0.62
,,
9510097-18,9603061-19,0.62
,,
9510097-18,9603061-19,0.62
,,
9510097-18,9603061-19,0.62
,,
9510097-18,9603061-19,0.62
,,
9510097-18,9603061-19,0.62
,,
9510097-18,9603061-19,0.62
,,
9510097-18,9603061-19,0.62
,,
9510097-5,9603061-2,0.598
,,
9510097-5,9603061-2,0.598
,,
9510097-5,9603061-2,0.598
,,
9510097-5,9603061-2,0.598
,,
9510097-5,9603061-2,0.598
,,
9510097-5,9603061-2,0.598
,,
9510097-5,9603061-2,0.598
,,
9510097-2,9603061-18,0.681
,,
9510097-2,9603061-18,0.681
,,
9510097-2,9603061-18,0.681
,,
9510097-2,9603061-18,0.681
,,
9603061-14,9603126-16,0.59
,,
9603061-14,9603126-16,0.59
,,
9603061-14,9603126-16,0.59
,,
9603061-14,9603126-16,0.59
,,
9603061-14,9603126-16,0.59
,,
9603061-14,9603126-16,0.59
,,
9603061-14,9603126-16,0.59
,,
9603061-19,9603126-11,0.719
,,
9603061-19,9603126-11,0.719
,,
9603061-19,9603126-11,0.719
,,
9603061-19,9603126-11,0.719
,,
9603061-19,9603126-11,0.719
,,
9603061-19,9603126-11,0.719
,,
9603061-19,9603126-11,0.719
,,
9603061-19,9603126-11,0.719
,,
9603061-2,9603126-14,0.58
,,
9603061-2,9603126-14,0.58
,,
9603061-2,9603126-14,0.58
,,
9603061-2,9603126-14,0.58
,,
9603061-2,9603126-14,0.58
,,
9603061-2,9603126-14,0.58
,,
9603061-2,9603126-14,0.58
,,
9603061-18,9603126-11,0.685
,,
9603061-18,9603126-11,0.685
,,
9603061-18,9603126-11,0.685
,,
9603061-18,9603126-11,0.685
,,
9603126-16,9711179-2,0.608
,,
9603126-16,9711179-2,0.608
,,
9603126-16,9711179-2,0.608
,,
9603126-16,9711179-2,0.608
,,
9603126-16,9711179-2,0.608
,,
9603126-16,9711179-2,0.608
,,
9603126-16,9711179-2,0.608
,,
9603126-11,9711179-16,0.666
,,
9603126-11,9711179-16,0.666
,,
9603126-11,9711179-16,0.666
,,
9603126-11,9711179-17,0.678
,,
9603126-11,9711179-16,0.666
,,
9603126-11,9711179-16,0.666
,,
9603126-11,9711179-16,0.666
,,
9603126-11,9711179-17,0.678
,,
9603126-14,9711179-2,0.663
,,
9603126-14,9711179-2,0.663
,,
9603126-14,9711179-2,0.663
,,
9603126-14,9711179-2,0.663
,,
9603126-14,9711179-2,0.663
,,
9603126-14,9711179-2,0.663
,,
9603126-14,9711179-2,0.663
,,
9603126-11,9711179-16,0.666
,,
9603126-11,9711179-16,0.666
,,
9603126-11,9711179-16,0.666
,,
9603126-11,9711179-17,0.678
,,
9711179-2,9803044-18,0.665
,,
9711179-2,9803044-13,0.666
,,
9711179-2,9803044-15,0.697
,,
9711179-2,9803044-3,0.702
,,
9711179-2,9803044-4,0.74
,,
9711179-2,9803044-4,0.74
,,
9711179-2,9803044-4,0.74
,,
9711179-16,9803044-4,0.639
,,
9711179-16,9803044-4,0.639
,,
9711179-16,9803044-4,0.639
,,
9711179-17,9803044-3,0.658
,,
9711179-16,9803044-4,0.639
,,
9711179-16,9803044-4,0.639
,,
9711179-16,9803044-4,0.639
,,
9711179-17,9803044-3,0.658
,,
9711179-2,9803044-18,0.665
,,
9711179-2,9803044-13,0.666
,,
9711179-2,9803044-15,0.697
,,
9711179-2,9803044-3,0.702
,,
9711179-2,9803044-4,0.74
,,
9711179-2,9803044-4,0.74
,,
9711179-2,9803044-4,0.74
,,
9711179-16,9803044-4,0.639
,,
9711179-16,9803044-4,0.639
,,
9711179-16,9803044-4,0.639
,,
9711179-17,9803044-3,0.658
,,
9803044-18,9908142-9,0.602
,,
9803044-13,9908142-9,0.655
,,
9803044-15,9908142-4,0.63
,,
9803044-3,9908142-9,0.622
,,
9803044-4,9908142-15,0.646
,,
9803044-4,9908142-13,0.656
,,
9803044-4,9908142-9,0.801
,,
9803044-4,9908142-15,0.646
,,
9803044-4,9908142-13,0.656
,,
9803044-4,9908142-9,0.801
,,
9803044-3,9908142-9,0.622
,,
9803044-4,9908142-15,0.646
,,
9803044-4,9908142-13,0.656
,,
9803044-4,9908142-9,0.801
,,
9803044-3,9908142-9,0.622
,,
9803044-18,9908142-9,0.602
,,
9803044-13,9908142-9,0.655
,,
9803044-15,9908142-4,0.63
,,
9803044-3,9908142-9,0.622
,,
9803044-4,9908142-15,0.646
,,
9803044-4,9908142-13,0.656
,,
9803044-4,9908142-9,0.801
,,
9803044-4,9908142-15,0.646
,,
9803044-4,9908142-13,0.656
,,
9803044-4,9908142-9,0.801
,,
9803044-3,9908142-9,0.622
,,
9908142-9,9911245-16,0.661
,,
9908142-9,9911245-16,0.661
,,
9908142-4,9911245-9,0.53
,,
9908142-9,9911245-16,0.661
,,
9908142-15,9911245-9,0.577
,,
9908142-13,9911245-16,0.575
,,
9908142-9,9911245-16,0.661
,,
9908142-15,9911245-9,0.577
,,
9908142-13,9911245-16,0.575
,,
9908142-9,9911245-16,0.661
,,
9908142-9,9911245-16,0.661
,,
9908142-15,9911245-9,0.577
,,
9908142-13,9911245-16,0.575
,,
9908142-9,9911245-16,0.661
,,
9908142-9,9911245-16,0.661
,,
9908142-9,9911245-16,0.661
,,
9908142-9,9911245-16,0.661
,,
9908142-4,9911245-9,0.53
,,
9908142-9,9911245-16,0.661
,,
9908142-15,9911245-9,0.577
,,
9908142-13,9911245-16,0.575
,,
9908142-9,9911245-16,0.661
,,
9908142-15,9911245-9,0.577
,,
9908142-13,9911245-16,0.575
,,
9908142-9,9911245-16,0.661
,,
9908142-9,9911245-16,0.661
,,
9911245-16,203019-19,0.589
,,
9911245-16,203019-19,0.589
,,
9911245-9,203019-2,0.569
,,
9911245-16,203019-19,0.589
,,
9911245-9,203019-2,0.569
,,
9911245-16,203019-19,0.589
,,
9911245-16,203019-19,0.589
,,
9911245-9,203019-2,0.569
,,
9911245-16,203019-19,0.589
,,
9911245-16,203019-19,0.589
,,
9911245-16,203019-19,0.589
,,
9911245-9,203019-2,0.569
,,
9911245-16,203019-19,0.589
,,
9911245-16,203019-19,0.589
,,
9911245-16,203019-19,0.589
,,
9911245-16,203019-19,0.589
,,
9911245-16,203019-19,0.589
,,
9911245-9,203019-2,0.569
,,
9911245-16,203019-19,0.589
,,
9911245-9,203019-2,0.569
,,
9911245-16,203019-19,0.589
,,
9911245-16,203019-19,0.589
,,
9911245-9,203019-2,0.569
,,
9911245-16,203019-19,0.589
,,
9911245-16,203019-19,0.589
,,
9911245-16,203019-19,0.589
,,
203019-19,207156-1,0.68
,,
203019-19,207156-1,0.68
,,
203019-2,207156-6,0.823
,,
203019-19,207156-1,0.68
,,
203019-2,207156-6,0.823
,,
203019-19,207156-1,0.68
,,
203019-19,207156-1,0.68
,,
203019-2,207156-6,0.823
,,
203019-19,207156-1,0.68
,,
203019-19,207156-1,0.68
,,
203019-19,207156-1,0.68
,,
203019-2,207156-6,0.823
,,
203019-19,207156-1,0.68
,,
203019-19,207156-1,0.68
,,
203019-19,207156-1,0.68
,,
203019-19,207156-1,0.68
,,
203019-19,207156-1,0.68
,,
203019-2,207156-6,0.823
,,
203019-19,207156-1,0.68
,,
203019-2,207156-6,0.823
,,
203019-19,207156-1,0.68
,,
203019-19,207156-1,0.68
,,
203019-2,207156-6,0.823
,,
203019-19,207156-1,0.68
,,
203019-19,207156-1,0.68
,,
203019-19,207156-1,0.68
,,
9206019-1,207020-13,0.645
,,
9206019-2,207020-17,0.658
,,
9206019-13,207020-17,0.682
,,
9206019-14,207020-17,0.731
,,
9206019-7,207020-17,0.743
,,
207020-13,207184-19,0.595
,,
207020-17,207184-18,0.644
,,
207020-17,207184-18,0.644
,,
207020-17,207184-18,0.644
,,
207020-17,207184-18,0.644
,,
9603006-15,206082-16,0.701
,,
9603006-6,206082-16,0.713
,,
9603006-4,206082-16,0.729
,,
9603006-0,206082-2,0.763
,,
9603006-2,206082-16,0.778
,,
12200-6,103196-16,0.587
,,
12200-13,103196-19,0.592
,,
12200-17,103196-17,0.607
,,
12200-0,103196-19,0.662
,,
12200-17,103196-19,0.707
,,
103196-16,109209-15,0.586
,,
103196-19,109209-19,0.559
,,
103196-17,109209-1,0.557
,,
103196-19,109209-19,0.559
,,
103196-19,109209-19,0.559
,,
109209-15,211041-4,0.587
,,
109209-19,211041-11,0.515
,,
109209-1,211041-10,0.55
,,
109209-19,211041-11,0.515
,,
109209-19,211041-11,0.515
,,
9206090-8,9712051-8,0.647
,,
9206090-3,9712051-9,0.651
,,
9206090-3,9712051-9,0.651
,,
9206090-8,9712051-14,0.651
,,
9206090-10,9712051-16,0.652
,,
9206090-1,9712051-16,0.665
,,
9712051-8,9803007-0,0.728
,,
9712051-9,9803007-17,0.604
,,
9712051-9,9803007-17,0.604
,,
9712051-14,9803007-0,0.528
,,
9712051-16,9803007-15,0.588
,,
9712051-16,9803007-15,0.588
,,
9803007-0,101035-19,0.574
,,
9803007-17,101035-10,0.621
,,
9803007-17,101035-10,0.621
,,
9803007-0,101035-19,0.574
,,
9803007-15,101035-15,0.552
,,
9803007-15,101035-15,0.552
,,
101035-19,108130-0,0.459
,,
101035-10,108130-11,0.656
,,
101035-10,108130-17,0.659
,,
101035-19,108130-0,0.459
,,
101035-15,108130-17,0.657
,,
101035-15,108130-17,0.657
,,
9309026-7,9405011-14,0.649
,,
9309026-7,9405011-14,0.649
,,
9309026-2,9405011-14,0.653
,,
9309026-2,9405011-14,0.653
,,
9309026-8,9405011-14,0.666
,,
9309026-8,9405011-14,0.666
,,
9309026-10,9405011-19,0.7
,,
9309026-10,9405011-14,0.756
,,
9309026-10,9405011-14,0.756
,,
9405011-14,9412176-14,0.649
,,
9405011-14,9412176-16,0.652
,,
9405011-14,9412176-14,0.649
,,
9405011-14,9412176-16,0.652
,,
9405011-14,9412176-14,0.649
,,
9405011-14,9412176-16,0.652
,,
9405011-19,9412176-8,0.65
,,
9405011-14,9412176-14,0.649
,,
9405011-14,9412176-16,0.652
,,
9412176-14,206232-15,0.563
,,
9412176-16,206232-15,0.64
,,
9412176-14,206232-15,0.563
,,
9412176-16,206232-15,0.64
,,
9412176-14,206232-15,0.563
,,
9412176-16,206232-15,0.64
,,
9412176-8,206232-14,0.655
,,
9412176-14,206232-15,0.563
,,
9412176-16,206232-15,0.64
,,
9204088-13,9410084-14,0.657
,,
9204088-13,9410084-16,0.67
,,
9204088-8,9410084-14,0.689
,,
9204088-8,9410084-18,0.704
,,
9204088-15,9410084-18,0.739
,,
9410084-14,9605039-3,0.562
,,
9410084-16,9605039-10,0.645
,,
9410084-14,9605039-3,0.562
,,
9410084-18,9605039-13,0.655
,,
9410084-18,9605039-13,0.655
,,
9605039-3,108040-1,0.581
,,
9605039-10,108040-4,0.633
,,
9605039-3,108040-1,0.581
,,
9605039-13,108040-19,0.668
,,
9605039-13,108040-19,0.668
,,
108040-1,207143-4,0.681
,,
108040-4,207143-0,0.69
,,
108040-1,207143-4,0.681
,,
108040-19,207143-0,0.669
,,
108040-19,207143-0,0.669
,,
9906054-10,5224-17,0.618
,,
9906054-10,5224-17,0.618
,,
9906054-10,5224-17,0.618
,,
9906054-2,5224-17,0.626
,,
9906054-2,5224-17,0.626
,,
9906054-2,5224-17,0.626
,,
9906054-7,5224-17,0.627
,,
9906054-7,5224-17,0.627
,,
9906054-7,5224-17,0.627
,,
9906054-1,5224-3,0.634
,,
9906054-1,5224-3,0.634
,,
9906054-1,5224-3,0.634
,,
9906054-1,5224-3,0.634
,,
9906054-1,5224-3,0.634
,,
9906054-1,5224-3,0.634
,,
9906054-5,5224-17,0.692
,,
9906054-5,5224-17,0.692
,,
9906054-5,5224-17,0.692
,,
5224-17,201253-18,0.641
,,
5224-17,201253-17,0.67
,,
5224-17,201253-17,0.67
,,
5224-17,201253-18,0.641
,,
5224-17,201253-17,0.67
,,
5224-17,201253-17,0.67
,,
5224-17,201253-18,0.641
,,
5224-17,201253-17,0.67
,,
5224-17,201253-17,0.67
,,
5224-3,201253-2,0.725
,,
5224-3,201253-2,0.725
,,
5224-3,201253-2,0.725
,,
5224-3,201253-2,0.725
,,
5224-3,201253-2,0.725
,,
5224-3,201253-2,0.725
,,
5224-17,201253-18,0.641
,,
5224-17,201253-17,0.67
,,
5224-17,201253-17,0.67
,,
201253-18,206005-18,0.64
,,
201253-17,206005-1,0.657
,,
201253-17,206005-1,0.657
,,
201253-18,206005-18,0.64
,,
201253-17,206005-1,0.657
,,
201253-17,206005-1,0.657
,,
201253-18,206005-18,0.64
,,
201253-17,206005-1,0.657
,,
201253-17,206005-1,0.657
,,
201253-2,206005-6,0.647
,,
201253-2,206005-6,0.647
,,
201253-2,206005-6,0.647
,,
201253-2,206005-6,0.647
,,
201253-2,206005-9,0.673
,,
201253-2,206005-18,0.7
,,
201253-18,206005-18,0.64
,,
201253-17,206005-1,0.657
,,
201253-17,206005-1,0.657
,,
206005-18,206059-18,0.68
,,
206005-1,206059-13,0.614
,,
